Emotie		Valance	Tijd	Arousal	Wat	Intesiteit
10/11/16	16:06	5	1607	3	Moe	4
10/11/16	13:06	7	1306	7	Positief	4
10/11/16	10:06	7	1007	6	Geconcentreerd	3
10/11/16	08:15	4	0816	2	Moe	5
10/10/16	19:00	4	1900	6	Stressed	4
10/10/16	16:56	8	1656	7	Stress	4
10/10/16	14:53	5	1453	6	Nerveus	4
10/10/16	10:00	6	1001	6	Blij	3
10/10/16	09:29	5	0930	4	Moe	4
10/9/16	22:07	6	2208	4	Neutraal	1
10/9/16	19:28	4	1929	6	Nerveus	3
10/9/16	16:12	3	1612	7	Ok	3
10/9/16	13:14	6	1314	6	Tevreden	2
10/8/16	19:01	5	0901	4	Neutraal	2
10/8/16	16:58	6	1658	4	Ok	2
10/8/16	10:04	6	1004	4	Duf	3
10/7/16	19:04	6	1904	7	Blij	2
10/7/16	16:47	6	1648	6	Ziekig	2
10/7/16	13:13	6	1313	7	Happy	2
10/6/16	22:07	5	2207	3	Moe	3
10/6/16	21:26	6	2127	5	Tevreden	2
10/6/16	16:06	4	1607	3	Gefrustreerd	4
10/6/16	14:43	5	1443	3	Moe	4
10/6/16	07:08	4	0708	4	Duf	4
10/5/16	19:03	8	1903	7	Tevreden	4
10/5/16	16:25	6	1625	4	Moe	4
10/5/16	13:08	7	1308	6	Happy	3
10/4/16	22:00	5	2200	4	Relaxed	4
10/4/16	19:01	5	1901	6	Nerveus	3
10/4/16	16:11	5	1611	3	Moe	4
10/4/16	13:05	5	1306	4	Verveeld	2
10/4/16	07:56	4	0756	7	Gestresed	4
10/3/16	22:05	3	2205	2	Uitgeput	4
10/3/16	19:00	6	1900	3	Moe	3
10/3/16	16:25	5	1625	6	Ziek	1625
10/3/16	13:07	5	1307	5	Moe	3
10/3/16	10:15	2	1015	2	Ziek	4
10/2/16	22:23	4	2223	2	Ziekig	4
10/2/16	19:10	5	1910	7		3
10/2/16	16:03	6	1621	6	Lui	3
10/2/16	14:41	7	1441	4	Happy	3
10/1/16	19:04	5	1904	3	Rusteloos	3
10/1/16	16:12	6	1612	6	Happy	2
10/1/16	13:15	6	1315	4	Lui	3
9/30/16	17:26	2	1726	4	Depressie	2
9/30/16	12:10	2	1200	2	Ziek	5
9/29/16	19:01	8	1901	8	Tevreden	4
9/29/16	16:01	8	1602	7	Tevreden	4
9/29/16	13:19	6	1300	6	Gefocust	3
9/29/16	10:03	7	1003	8	Geconcentreerd	5
9/29/16	07:36	7	0736	7	Gefocust	4
9/28/16	19:01	5	1901	4	Moe	3
9/28/16	16:05	6	1606	4	Tevreden	3
9/28/16	14:58	7	1458	7	Happy	5
9/28/16	10:14	4	1014	7	Gestressed	3
9/28/16	07:48	3	0750	1	sacherijnig	5
9/27/16	19:20	4	1920	3	Depressief	3
9/27/16	16:25	2	1626	4	Depressief	5
9/27/16	13:13	1	1313	5	Verdriet	5
9/27/16	11:22	6	1000	3	Blij	2
9/27/16	07:30	4	0731	2	Duf	2
9/26/16	22:10	8	2211	2	Slaperig	4
9/26/16	19:17	8	1917	4	Tevreden	3
9/26/16	16:06	7	1600	4	Relaxed	3
9/26/16	15:14	5	1515	5	Ok	2
9/26/16	10:05	4	1005	6	Neerslachtig	3
9/26/16	07:10	3	0710	1	Geïrriteerd	5
9/25/16	22:25	5	2230	2	Moe	2
9/25/16	19:11	5	1911	4	Neutraal	2
9/25/16	16:40	8	1640	7	Blij	4
9/25/16	14:15	7	1400	5	Relaxed	4
9/25/16	11:04	5	1100	3	Duf	3
9/25/16	11:04	5	0700	1	Slaap	5
9/24/16	23:39	7	2340	4	Relaxed	4
9/24/16	19:19	7	1919	6	Happy	3
9/24/16	18:50	8	1850	7	Vrolijk	3
9/24/16	13:03	7	1300	5	Happy	3
9/24/16	10:01	5	1000	4	Lui	1
9/24/16	09:52	5	0950	3	Duf	1
9/23/16	22:02	8	2202	4	Tevreden	3
9/23/16	19:13	7	1913	7	Blij	3
9/23/16	17:18	4	1718	4	Schuldig	4
9/23/16	13:10	6	1311	5	Stressed	3
9/23/16	10:43	8	1043	7	Concentratie	4
9/23/16	07:06	7	0707	5	Vrolijk	2
9/22/16	19:00	6	1900	4	Relaxed	2
9/22/16	16:04	8	1605	7	Blij	4
9/22/16	13:00	6	1300	6	Vastberaden	4
9/22/16	10:33	8	1030	7	Tevreden	2
9/22/16	08:32	4	0832	4	Duf	3
9/22/16	07:07	5	2200	3		2
9/21/16	22:09	8	2209	6	Vrolijk	3
9/21/16	19:09	7	1910	4	Relaxed	2
9/21/16	17:11	3	1700	2	Vermoeid	4
9/21/16	13:12	4	1300	7	Gestressed	3
9/21/16	10:10	7	1010	4	Happy	2
9/20/16	16:03	3	1600	8	Geïrriteerd	4
9/20/16	13:25	7	1300	4	Relaxed	3
9/20/16	10:15	7	1015	6	Uitgerust	3
9/20/16	08:34	4	0834	2	Moe	2
9/19/16	22:21	2	2222	8	Bezorgd	4
9/19/16	19:06	7	1906	3	Voldaan	3
9/19/16	16:13	6	1614	6	Relaxed	2
9/19/16	10:39		1040		Gefocust	4
9/19/16	08:50		0850		Slaperig	2
9/18/16	22:07		2207		Dromerig	2
9/18/16	19:08		1908		Blij	4
9/18/16	16:36		1630		Duf	3
9/18/16	13:00		1300		Happy	2
9/18/16	10:02		1000		Uitgerust	2
9/18/16	10:01		0700		Slaap	1
9/17/16	22:00		2200		Relaxed	2
9/17/16	19:28		1930		Vrolijk	2
9/17/16	16:10		1610		Blij	4
9/17/16	13:22		1322		Vrolijk	3
9/17/16	11:36		1000		Relaxed	3
9/17/16	11:36		0700		Blij	3
9/17/16	11:35		2200		Slaperig	1
9/16/16	19:44		1945		Tevreden	2
9/16/16	16:33		1633		Moe	5
9/16/16	13:06		1300		Relaxed	2
9/16/16	10:40		1040		Opgelucht	5
9/16/16	07:06		0700		Moe	4
9/15/16	22:04		2200		Stress	5
9/15/16	19:01		1900		Blij	1
9/15/16	16:01		1600		Relaxed	1
9/15/16	13:11		1300		Gefrustreerd	3
