Datum,Check-in,Vertrek,Check-uit,Bestemming,Bedrag,Transactie,Klasse,Product,Opmerkingen
01-09-2016,07:56,Broek op Langedijk Broekerveiling,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
01-09-2016,,Broek op Langedijk Broekerveiling,08:02,Heerhugowaard Station,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
01-09-2016,08:03,Heerhugowaard,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
01-09-2016,,Heerhugowaard,08:59,Amsterdam Sloterdijk,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
01-09-2016,09:07,Metrostation Sloterdijk,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
01-09-2016,,Metrostation Sloterdijk,09:15,Henk Sneevlietweg,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
01-09-2016,18:23,Henk Sneevlietweg,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
01-09-2016,,Henk Sneevlietweg,18:36,Metrostation Sloterdijk,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
01-09-2016,18:36,Amsterdam Sloterdijk,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
01-09-2016,,Amsterdam Sloterdijk,19:27,Heerhugowaard,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
05-09-2016,09:15,Broek op Langedijk Laansloot,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
05-09-2016,,Broek op Langedijk Laansloot,09:27,Alkmaar Gerechtsgebouw,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
05-09-2016,09:27,Alkmaar,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
05-09-2016,,Alkmaar,10:15,Amsterdam Centraal,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
05-09-2016,10:18,Centraal Station,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
05-09-2016,,Centraal Station,10:24,Weesperplein,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
05-09-2016,11:43,Weesperplein,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
05-09-2016,,Weesperplein,11:56,Waterlooplein,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
05-09-2016,13:50,Waterlooplein,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
05-09-2016,,Waterlooplein,13:54,Weesperplein,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
05-09-2016,15:45,Weesperplein,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
05-09-2016,,Weesperplein,15:51,Centraal Station,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
05-09-2016,15:54,Amsterdam Centraal,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
05-09-2016,,Amsterdam Centraal,16:36,Alkmaar,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
05-09-2016,16:44,Alkmaar Station,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
05-09-2016,,Alkmaar Station,16:59,Broek op Langedijk Laansloot,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
07-09-2016,12:55,Broek op Langedijk Broekerveiling,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
07-09-2016,,Broek op Langedijk Broekerveiling,13:00,Heerhugowaard Station,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
07-09-2016,13:00,Heerhugowaard,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
07-09-2016,,Heerhugowaard,13:53,Amsterdam Centraal,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
07-09-2016,14:06,Centraal Station,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
07-09-2016,,Centraal Station,14:15,Weesperplein,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
07-09-2016,17:47,Weesperplein,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
07-09-2016,,Weesperplein,17:56,Centraal Station,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
07-09-2016,17:58,Amsterdam Centraal,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
07-09-2016,,Amsterdam Centraal,18:49,Alkmaar,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
07-09-2016,19:04,Alkmaar Station,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
07-09-2016,,Alkmaar Station,19:26,Broek op Langedijk Laansloot,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
08-09-2016,07:11,Broek op Langedijk Laansloot,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
08-09-2016,,Broek op Langedijk Laansloot,07:23,Alkmaar Station,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
08-09-2016,07:23,Alkmaar,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
08-09-2016,,Alkmaar,08:05,Amsterdam Centraal,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
08-09-2016,08:06,Centraal Station,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
08-09-2016,,Centraal Station,08:14,Weesperplein,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
08-09-2016,17:55,Weesperplein,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
08-09-2016,,Weesperplein,18:04,Centraal Station,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
08-09-2016,18:06,Amsterdam Centraal,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
